name,2025-05-30,2025-05-31,2025-06-01,2025-06-02,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-07,2025-06-08,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-03,2025-08-04,2025-08-05,2025-08-06,2025-08-07,2025-08-08,2025-08-09,2025-08-10,2025-08-11,2025-08-12,2025-08-13,2025-08-14,2025-08-15,2025-08-16,2025-08-17,2025-08-18,2025-08-19
SG2958,42688.9,42782.3,42882.8,42951.6,43054.4,43205.4,43798.1,44421.7,44549.1,44556.5,44564,44656.8,44737.7,44821.5,44897,45090.6,45090.6,45319,45319,45359.5,45444.8,45654,45684.3,45749.1,45816.6,45926.1,46028.2,46028.2,46120,46251.1,46383.4,46494.8,46583.8,46625.9,46635.5,46687.2,46810.5,46909.4,47060.4,47181.7,47284.3,47316.1,47385.1,47512.8,47878.1,49029.4,49082.1,49334.8,49334.8,49596,49596,49599.2,49599.2,49639.9,49819.3,49906.4,49906.9,50090.2,50163.3,50273,50273,50273,50273,50313.2,50432.8,50546.4,50659.3,50772.8,50842,50847.6,50897.9,51013.1
SG4236,40237,40255,40255,40255,40255,40294.8,40338.3,40381.2,40432.7,40432.7,40432.7,40468.8,40507.3,40547.7,40582.5,40776.3,40776.3,40776.3,40776.3,40801.2,40801.2,40801.2,40992.6,41029.2,41069.6,41111.9,41150.4,41150.4,41150.4,41195.8,41217.5,41241.8,41281.5,41281.5,41281.5,41281.5,41281.5,41319.4,41356.1,41392.7,41434.4,41434.4,41434.4,41468.6,41504.6,41758.1,41793.5,41830.2,41830.2,41830.2,41864.4,41899.8,41936.4,41971.9,42038.4,42038.4,42038.4,42071.9,42104.8,42142.7,42181.3,42217.3,42217.3,42217.3,42249,42286.9,42322.3,42357.7,42393.2,42393.2,42393.2,42393.2
SG2915,71369,71369,71369,71369,71380,71469,71577.2,71670.2,71711.4,71711.4,71731,71789.2,71853.1,71929.2,72000.1,72047.9,72047.9,72059.2,72140.1,72195.7,72226.9,72330.2,72388.1,72443.9,72509.2,72574.9,72628.8,72637,72637,72647.4,72704.9,72708.1,72708.1,72708.1,72708.1,72723.5,72784.2,72822,72869.7,72945.2,72993.9,72993.9,73004.3,73097.7,73175.5,73479.1,73479.1,73479.1,73581.2,73634.5,73683.4,73720.8,73757.8,73796,73815.4,73815.4,73865.1,73918.9,73928.9,73934.4,73938,74033.1,74033.1,74094.7,74147.5,74147.5,74147.5,74147.5,74147.5,74147.5,74147.5,74156.3
SG4338,11508.9,11508.9,11508.9,11508.9,11516.6,11522.3,11529.5,11536.7,11543.7,11543.7,11543.7,11550.9,11559.8,11565,11571.3,11579.1,11579.1,11579.1,11585.1,11593.3,11593.3,11597.3,11600,11606.1,11613.8,11618.9,11626,11626,11626,11632.8,11639.3,11644.6,11650.6,11650.6,11650.6,11650.6,11656.4,11662,11667.6,11674.5,11680.1,11680.1,11680.1,11686.1,11692.1,11726.2,11731.2,11739.3,11739.3,11739.3,11745,11749.6,11755.6,11766.3,11766.3,11766.3,11766.3,11771.9,11777.3,11784,11789.2,11794.4,11794.4,11794.4,11799.9,11806,11811.3,11818.6,11823.9,11823.9,11823.9,11830.4
SG1342,59318.8,59326.2,59326.2,59326.2,59354.6,59354.6,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59354.7,59355,59355,59355,59355,59355,59355,59355,59355,59355,59355,59355,59355,59355,59355.1
SG4318,25510.5,25516.1,25516.1,25516.1,25536.6,25548.4,25568.2,25608.6,25620.4,25620.4,25620.4,25663.3,25688.8,25714.3,25738.5,25751.6,25751.6,25751.6,25764.6,25773.9,25773.9,25780.8,25786.3,25796.9,25807.5,25821.8,25836.1,25836.1,25836.1,25844.1,25844.1,25990.2,25997.6,25997.6,25997.6,25997.6,26007.6,26059.1,26109.5,26120.6,26143.6,26143.6,26143.6,26151.7,26172.2,26352.4,26366.1,26390.9,26390.9,26390.9,26420.1,26452.5,26484.8,26517.1,26560,26560,26560,26586.7,26614.6,26640.7,26680.5,26719.6,26719.6,26719.6,26759.4,26773.7,26789.9,26800.4,26812.2,26812.2,26812.2,26829
SG1362,35765.2,35765.2,35765.2,35765.2,35765.2,35765.2,35765.2,35765.2,35782.1,35782.1,35782.1,35787.4,35793.3,35967.4,35973.4,35993.3,35993.3,35993.3,35999.6,36005.2,36005.2,36008.8,36011,36033,36047.1,36063.8,36191.3,36191.3,36191.3,36206.5,36225.4,36242.4,36248,36248,36248,36248,36254.5,36277.5,36288.3,36304.5,36326.1,36326.1,36326.1,36346.9,36352.7,36485.1,36500.7,36516.1,36516.1,36516.1,36526.5,36544.2,36544.4,36544.4,36544.4,36544.4,36544.4,36595.5,36595.5,36595.5,36618.1,36618.1,36618.1,36618.1,36618.1,36644.5,36644.9,36644.9,36644.9,36644.9,36644.9,36657.4
SG808,23772.4,23772.4,23772.4,23772.4,23794.3,23818.3,23840,23869.7,23905,23905,23905,23927.4,23949.7,23972.9,23995.8,24019.4,24019.4,24019.4,24048.4,24085.6,24110.8,24110.9,24110.9,24157.8,24177.4,24249.3,24271.5,24271.5,24271.5,24291.2,24317.1,24339.8,24339.8,24339.8,24339.8,24339.8,24364.5,24392.5,24409.6,24457,24471.5,24471.5,24471.5,24471.6,24511.1,24798.6,24826.3,24867.1,24867.1,24867.1,24879.8,24890.5,24902.2,24912.6,24921.6,24921.6,24921.6,24933.6,24945.3,24954.9,24965.6,24979.1,24979.1,24979.1,24989.9,24999.9,25010,25020.8,25031.1,25031.1,25031.1,25031.3
SG1348,110393.6,110404.5,110404.5,110404.5,110484.5,110531.6,110588.1,110674.9,110687.1,110687.1,110687.1,110756.1,110800.1,110843.7,110886.9,110913.5,110913.5,110913.5,110913.5,110946.7,110946.7,110958.1,110973.7,111003.9,111038.7,111074.5,111102.6,111102.6,111102.6,111121.3,111208.3,111208.3,111208.3,111208.3,111208.3,111208.3,111219.8,111323.5,111425.6,111436.6,111518.8,111518.8,111518.8,111536.3,111573.9,111773.5,111801.1,111849.4,111849.4,111849.4,111913.8,111978.5,111978.6,111978.6,111978.6,111978.6,111978.6,111978.6,111978.6,112005.7,112085.1,112125.5,112125.5,112125.5,112204.5,112276,112321.5,112359.8,112409.7,112409.7,112409.7,112442.2
SG2968,7535.6,7542.5,7542.5,7542.5,7585.3,7636.1,7685.4,7733,7797.8,7797.8,7797.8,7840.2,7869.3,7919.6,7970,8008.1,8008.1,8008.1,8050.6,8095.7,8201.6,8403.6,8431.2,8477,8521.1,8537.1,8562.8,8562.8,8562.8,8611.9,8654.4,8700.6,8738.6,8738.6,8738.6,8738.6,8765,8810.2,8867.8,8889.2,8934.2,8934.2,8934.2,8966.2,8992,9110.1,9128.1,9147.7,9147.7,9147.7,9167.2,9187.1,9207.5,9226.8,9263.3,9263.3,9263.3,9302.8,9344.2,9384.4,9421.8,9463.1,9463.1,9463.1,9504,9552.1,9593.7,9634.6,9659.1,9659.1,9674.6,9774.4
